empleado_id,fecha,hora_inicio,hora_fin,tipo_turno,ubicacion,notas
E219,2024-06-04,18:56,02:56,Mañana,Oficina Central,
E076,2024-09-07,17:59,00:59,Mañana,Oficina Remota,Facilis minima minima.
E243,2025-03-01,09:36,17:36,Tarde,Oficina Remota,
E214,2024-09-26,05:34,12:34,Tarde,Planta de Producción,
E768,2024-05-11,08:13,16:13,Libre,Oficina Remota,
E1101,2024-07-25,07:05,13:05,Libre,Almacén,
E929,2024-10-02,19:14,02:14,Mañana,Almacén,Accusamus eum officiis hic.
E727,2024-10-27,16:16,23:16,Libre,Almacén,
E1011,2024-10-09,08:11,15:11,Noche,Almacén,
E938,2024-11-23,08:06,15:06,Noche,Oficina Central,
E1080,2024-10-22,00:00,08:00,Tarde,Planta de Producción,
E604,2024-06-10,16:52,23:52,Mañana,Oficina Central,
E002,2024-11-06,05:26,12:26,Libre,Planta de Producción,
E852,2024-04-29,05:55,13:55,Noche,Oficina Central,
E827,2024-06-21,03:25,10:25,Mañana,Oficina Remota,
E874,2024-04-23,04:44,11:44,Libre,Planta de Producción,
E408,2024-11-30,22:42,05:42,Libre,Oficina Remota,
E191,2024-09-20,09:47,16:47,Mañana,Oficina Remota,
E1054,2024-12-28,18:14,00:14,Noche,Oficina Central,
E820,2024-08-29,16:48,22:48,Noche,Planta de Producción,
E175,2024-09-08,15:58,21:58,Mañana,Oficina Remota,Voluptatibus voluptates quisquam tenetur mollitia.
E655,2024-09-19,19:23,01:23,Noche,Planta de Producción,
E525,2024-09-06,19:43,03:43,Tarde,Planta de Producción,
E154,2025-04-01,14:42,21:42,Libre,Planta de Producción,
E1187,2025-01-18,18:49,02:49,Tarde,Oficina Remota,
E091,2024-06-24,09:09,15:09,Mañana,Oficina Remota,
E470,2024-08-27,14:01,21:01,Libre,Planta de Producción,
E782,2024-10-19,21:10,03:10,Tarde,Oficina Central,
E907,2024-12-30,14:24,20:24,Libre,Oficina Central,
E673,2024-05-03,16:36,23:36,Tarde,Oficina Remota,
E1122,2024-10-07,04:59,12:59,Mañana,Planta de Producción,
E387,2025-04-07,09:47,16:47,Libre,Almacén,
E349,2024-08-02,16:44,22:44,Noche,Almacén,
E1136,2024-07-11,19:20,03:20,Noche,Planta de Producción,
E1167,2025-04-08,05:21,13:21,Tarde,Almacén,
E1065,2024-10-26,17:06,00:06,Noche,Planta de Producción,
E780,2024-07-30,15:41,23:41,Libre,Almacén,
E176,2024-04-30,18:02,02:02,Libre,Oficina Central,
E1152,2024-08-16,11:11,18:11,Tarde,Planta de Producción,
E233,2024-05-04,11:26,19:26,Libre,Oficina Central,
E777,2024-10-26,11:22,19:22,Libre,Oficina Central,
E074,2024-10-14,09:44,17:44,Mañana,Almacén,
E091,2025-01-01,13:31,21:31,Noche,Oficina Central,Necessitatibus qui omnis necessitatibus assumenda animi.
E739,2024-11-26,22:09,05:09,Libre,Almacén,
E645,2025-04-18,23:26,07:26,Mañana,Almacén,
E497,2024-09-26,17:26,23:26,Tarde,Planta de Producción,
E094,2024-09-28,10:46,17:46,Noche,Planta de Producción,
E486,2024-08-11,22:33,06:33,Libre,Planta de Producción,
E499,2024-05-27,15:28,21:28,Mañana,Oficina Central,
E611,2024-10-06,18:12,02:12,Tarde,Oficina Remota,
E113,2025-04-09,20:51,03:51,Libre,Oficina Central,
E608,2024-04-23,10:08,18:08,Tarde,Oficina Remota,
E467,2024-11-04,19:56,01:56,Libre,Oficina Central,
E709,2024-07-13,00:55,07:55,Mañana,Almacén,
E684,2025-02-24,03:39,10:39,Libre,Oficina Central,
E1138,2024-12-28,22:57,05:57,Tarde,Oficina Remota,
E257,2024-11-18,05:44,11:44,Tarde,Almacén,
E177,2024-10-10,02:42,08:42,Noche,Oficina Remota,Accusamus magni perspiciatis soluta reprehenderit qui.
E432,2024-11-21,05:58,12:58,Noche,Oficina Central,
E680,2024-10-22,03:21,09:21,Mañana,Almacén,
E022,2025-04-11,14:42,21:42,Libre,Almacén,
E664,2024-11-01,23:04,06:04,Tarde,Planta de Producción,
E1079,2024-09-08,11:32,18:32,Tarde,Oficina Remota,
E911,2025-01-25,11:42,19:42,Mañana,Oficina Remota,
E221,2025-04-14,17:57,01:57,Libre,Oficina Remota,Facere quaerat sapiente.
E769,2024-10-30,20:00,02:00,Libre,Planta de Producción,
E250,2024-08-08,16:43,22:43,Libre,Planta de Producción,Accusamus a aliquam.
E118,2024-07-03,10:51,16:51,Tarde,Planta de Producción,
E403,2024-06-21,11:47,18:47,Tarde,Planta de Producción,Quae optio id quam officia.
E443,2025-02-04,12:17,18:17,Tarde,Almacén,
E1109,2024-04-22,22:18,05:18,Libre,Almacén,
E666,2024-10-01,23:30,06:30,Noche,Planta de Producción,
E342,2024-07-07,15:09,21:09,Tarde,Oficina Central,
E1056,2024-12-03,04:39,10:39,Mañana,Oficina Central,Corrupti at quos.
E273,2025-01-06,14:08,22:08,Libre,Almacén,
E1158,2025-03-23,02:17,09:17,Libre,Planta de Producción,
E331,2024-11-17,19:36,01:36,Tarde,Oficina Remota,
E367,2024-09-10,16:19,23:19,Libre,Oficina Remota,
E972,2024-09-26,05:16,11:16,Tarde,Almacén,
E278,2024-05-14,20:57,04:57,Mañana,Oficina Central,
E280,2024-08-16,20:53,03:53,Tarde,Planta de Producción,
E054,2025-02-02,16:04,22:04,Mañana,Oficina Remota,
E936,2024-11-20,03:16,10:16,Libre,Oficina Central,
E644,2024-11-16,02:11,09:11,Mañana,Oficina Central,
E1104,2024-05-14,10:32,17:32,Noche,Oficina Remota,
E297,2024-08-25,15:42,21:42,Libre,Oficina Remota,
E089,2024-08-13,02:37,08:37,Tarde,Planta de Producción,
E442,2025-01-27,22:46,04:46,Tarde,Almacén,
E631,2024-07-20,02:28,08:28,Libre,Almacén,
E594,2024-10-13,21:10,03:10,Libre,Almacén,
E1178,2024-11-28,18:35,02:35,Noche,Planta de Producción,
E528,2024-06-16,17:58,01:58,Libre,Almacén,
E373,2024-05-23,19:16,01:16,Tarde,Oficina Central,
E559,2024-05-27,00:20,07:20,Noche,Oficina Central,
E509,2025-04-09,13:24,19:24,Libre,Oficina Central,
E511,2024-12-10,04:53,10:53,Libre,Oficina Remota,Explicabo nulla a impedit libero.
E844,2025-04-02,23:15,06:15,Mañana,Oficina Remota,
E338,2024-05-30,18:10,01:10,Tarde,Oficina Remota,
E284,2024-08-28,08:16,15:16,Tarde,Planta de Producción,
E164,2025-01-29,03:23,09:23,Libre,Planta de Producción,
E678,2024-10-18,20:16,04:16,Mañana,Almacén,
E430,2025-01-06,16:37,00:37,Tarde,Almacén,
E852,2024-12-20,08:23,14:23,Libre,Planta de Producción,
E611,2024-11-12,06:43,12:43,Tarde,Oficina Remota,
E671,2025-01-22,08:52,14:52,Noche,Almacén,
E578,2025-02-20,12:55,18:55,Mañana,Oficina Remota,
E427,2024-07-18,11:33,19:33,Tarde,Planta de Producción,
E398,2025-04-17,16:15,22:15,Mañana,Oficina Remota,
E486,2024-05-30,07:39,14:39,Noche,Planta de Producción,
E1029,2024-10-18,08:40,15:40,Tarde,Oficina Remota,
E769,2025-01-04,19:17,01:17,Libre,Almacén,
E795,2025-01-05,23:10,07:10,Tarde,Oficina Central,
E752,2025-02-12,11:30,17:30,Libre,Oficina Remota,
E048,2024-07-31,06:16,12:16,Noche,Almacén,
E017,2024-05-27,09:28,17:28,Tarde,Oficina Remota,
E1029,2025-04-20,07:50,14:50,Tarde,Almacén,
E905,2025-04-08,07:13,15:13,Mañana,Almacén,
E770,2024-12-06,02:36,08:36,Libre,Oficina Remota,
E306,2024-12-07,07:04,13:04,Tarde,Oficina Central,
E213,2024-08-18,12:41,19:41,Noche,Almacén,
E067,2025-04-02,02:22,10:22,Noche,Oficina Remota,Maiores et rerum eius quod explicabo.
E931,2025-03-21,16:50,23:50,Noche,Planta de Producción,
E541,2024-12-12,14:44,22:44,Mañana,Planta de Producción,
E457,2024-06-07,06:39,12:39,Tarde,Almacén,
E850,2024-10-09,00:06,08:06,Tarde,Oficina Remota,
E866,2024-07-15,00:03,06:03,Tarde,Almacén,
E971,2024-07-25,05:07,12:07,Noche,Planta de Producción,Et commodi nam.
E269,2024-11-14,15:45,22:45,Noche,Almacén,
E393,2025-04-03,19:47,01:47,Libre,Oficina Remota,Voluptas magni quidem illo id ducimus.
E882,2024-12-29,17:12,00:12,Noche,Oficina Central,
E998,2025-01-11,22:03,06:03,Noche,Almacén,
E090,2024-09-02,06:42,12:42,Tarde,Almacén,
E496,2024-11-05,15:05,22:05,Mañana,Almacén,Tempore dolores nobis voluptatem.
E126,2025-02-04,13:54,19:54,Noche,Planta de Producción,
E951,2024-04-23,00:34,06:34,Libre,Planta de Producción,
E391,2024-12-16,19:22,01:22,Libre,Oficina Central,
E295,2024-11-29,01:05,09:05,Libre,Planta de Producción,
E733,2024-10-31,06:13,13:13,Noche,Almacén,
E1138,2025-03-16,15:03,22:03,Mañana,Almacén,
E205,2024-11-10,19:05,02:05,Noche,Planta de Producción,
E1200,2024-08-04,06:03,12:03,Mañana,Oficina Remota,
E934,2024-07-30,17:23,01:23,Tarde,Planta de Producción,
E1101,2025-02-22,19:29,03:29,Libre,Planta de Producción,
E090,2024-07-22,01:26,08:26,Noche,Oficina Remota,Dolores hic labore reiciendis.
E783,2024-07-28,02:03,10:03,Mañana,Oficina Remota,
E957,2025-03-30,12:50,19:50,Libre,Oficina Central,
E1153,2024-06-09,09:07,17:07,Libre,Almacén,
E860,2024-07-21,16:34,22:34,Tarde,Almacén,
E302,2024-06-02,13:53,19:53,Libre,Almacén,
E308,2025-03-16,14:20,20:20,Tarde,Oficina Remota,
E788,2025-03-02,09:52,15:52,Tarde,Almacén,
E364,2025-02-12,14:28,20:28,Noche,Oficina Remota,Quidem quis placeat.
E1147,2024-10-08,13:36,20:36,Libre,Planta de Producción,
E984,2024-08-06,05:11,11:11,Libre,Oficina Central,
E929,2025-02-07,20:54,02:54,Libre,Almacén,
E297,2025-04-18,17:29,01:29,Tarde,Oficina Central,Non labore voluptatibus quaerat.
E138,2024-07-02,17:23,23:23,Noche,Oficina Central,
E860,2025-04-09,15:32,23:32,Mañana,Almacén,
E490,2024-05-28,08:10,14:10,Tarde,Almacén,
E523,2024-05-22,19:25,02:25,Noche,Planta de Producción,
E629,2024-08-30,19:22,01:22,Mañana,Planta de Producción,
E1025,2024-06-16,06:08,12:08,Mañana,Oficina Central,
E611,2024-12-19,02:12,09:12,Noche,Oficina Remota,
E875,2024-10-17,03:53,09:53,Libre,Oficina Remota,
E1076,2025-03-29,12:20,19:20,Noche,Almacén,
E1112,2025-04-08,03:54,11:54,Noche,Oficina Remota,
E618,2025-02-02,20:55,04:55,Noche,Oficina Central,Necessitatibus eaque commodi consectetur nobis impedit.
E815,2024-06-06,03:31,09:31,Noche,Planta de Producción,
E837,2024-08-14,04:12,11:12,Mañana,Oficina Central,Accusantium soluta exercitationem eligendi explicabo iure.
E105,2025-02-14,13:33,21:33,Tarde,Oficina Remota,
E028,2024-09-25,19:06,03:06,Tarde,Planta de Producción,
E426,2025-03-24,17:07,23:07,Libre,Almacén,
E1179,2024-10-01,05:40,12:40,Tarde,Oficina Remota,
E1198,2025-01-08,19:42,03:42,Mañana,Planta de Producción,
E455,2025-04-17,04:53,10:53,Mañana,Almacén,
E373,2024-05-16,13:41,21:41,Tarde,Oficina Central,
E043,2025-04-01,10:12,17:12,Mañana,Oficina Remota,
E670,2025-01-21,02:22,09:22,Mañana,Oficina Remota,
E534,2024-10-13,11:25,19:25,Tarde,Oficina Central,
E038,2025-02-15,10:43,18:43,Tarde,Almacén,
E117,2025-03-11,03:40,10:40,Noche,Oficina Remota,Deleniti corrupti odio repellat quo.
E561,2024-06-28,03:31,11:31,Mañana,Planta de Producción,
E699,2024-08-09,17:06,01:06,Tarde,Oficina Remota,
E398,2024-05-24,18:23,01:23,Libre,Oficina Central,
E541,2024-10-04,21:20,03:20,Tarde,Planta de Producción,
E997,2025-02-24,19:02,03:02,Libre,Almacén,
E1182,2025-02-06,12:46,20:46,Noche,Oficina Central,
E1135,2025-04-22,03:04,10:04,Noche,Oficina Central,
E112,2024-10-05,02:56,10:56,Libre,Oficina Remota,
E1114,2024-10-03,20:55,04:55,Noche,Oficina Remota,
E773,2024-05-04,00:40,07:40,Mañana,Planta de Producción,
E992,2024-08-31,16:59,00:59,Libre,Almacén,
E337,2024-05-30,18:55,01:55,Tarde,Oficina Central,Odio officia dolor rerum doloribus.
E864,2024-05-03,12:45,19:45,Tarde,Oficina Central,
E163,2024-09-04,13:45,21:45,Libre,Oficina Remota,
E027,2025-01-28,10:19,16:19,Noche,Oficina Central,
E981,2025-03-18,22:01,05:01,Mañana,Planta de Producción,
E657,2025-04-19,09:53,15:53,Mañana,Almacén,
E060,2024-05-20,04:18,11:18,Mañana,Almacén,
E087,2024-06-23,20:42,02:42,Tarde,Planta de Producción,
E879,2024-09-02,03:34,11:34,Tarde,Almacén,
E209,2024-05-28,08:43,16:43,Mañana,Oficina Remota,
E514,2025-03-04,12:23,19:23,Tarde,Planta de Producción,
E416,2024-10-17,23:52,07:52,Tarde,Oficina Remota,
E639,2024-10-08,06:49,14:49,Tarde,Oficina Remota,
E322,2025-02-08,01:33,09:33,Libre,Oficina Remota,
E638,2024-12-22,05:25,12:25,Noche,Oficina Central,
E013,2025-03-08,15:35,23:35,Mañana,Oficina Central,
E541,2025-03-20,10:23,17:23,Tarde,Almacén,
E722,2024-11-24,18:24,01:24,Libre,Almacén,
E586,2025-03-04,22:31,04:31,Libre,Oficina Central,
E134,2024-07-18,23:32,07:32,Tarde,Oficina Central,
E304,2024-12-14,07:47,13:47,Libre,Oficina Remota,
E350,2024-05-04,13:20,19:20,Noche,Oficina Remota,
E346,2025-01-29,03:39,11:39,Mañana,Oficina Remota,
E725,2024-11-04,23:23,05:23,Noche,Oficina Central,
E074,2024-06-13,03:16,09:16,Tarde,Oficina Remota,
E792,2025-01-07,08:20,15:20,Tarde,Almacén,
E600,2025-02-10,09:44,17:44,Tarde,Planta de Producción,
E539,2024-07-12,16:35,22:35,Libre,Almacén,
E730,2024-09-04,21:12,05:12,Libre,Almacén,
E658,2024-08-18,00:30,07:30,Mañana,Planta de Producción,
E257,2024-12-01,13:21,19:21,Libre,Almacén,
E1121,2024-12-13,05:17,13:17,Noche,Planta de Producción,
E341,2025-03-25,16:37,00:37,Noche,Oficina Central,
E384,2024-05-11,16:28,00:28,Libre,Oficina Central,Nulla laudantium molestias ratione illum facere.
E1191,2024-12-17,22:53,06:53,Tarde,Planta de Producción,
E858,2024-07-04,22:59,05:59,Mañana,Oficina Remota,Harum eos voluptatem labore animi.
E625,2025-03-12,01:21,08:21,Libre,Almacén,
E207,2024-12-07,19:14,03:14,Mañana,Oficina Remota,
E110,2025-01-22,00:43,06:43,Mañana,Oficina Central,
E1068,2025-03-04,17:18,01:18,Tarde,Almacén,
E845,2024-12-17,13:24,21:24,Mañana,Oficina Central,
E395,2024-06-27,13:31,21:31,Tarde,Almacén,
E920,2024-08-22,16:55,23:55,Mañana,Almacén,
E039,2025-04-08,01:14,07:14,Mañana,Oficina Central,
E603,2025-01-22,07:40,15:40,Libre,Oficina Remota,Possimus rem ipsa.
E352,2024-11-21,14:43,22:43,Libre,Almacén,
E712,2024-07-10,15:47,22:47,Noche,Planta de Producción,
E164,2024-05-08,10:09,17:09,Libre,Oficina Central,Iste sed minus.
E825,2025-01-09,18:00,00:00,Noche,Oficina Remota,
E642,2024-10-20,01:32,08:32,Tarde,Oficina Central,
E1173,2024-07-26,21:50,04:50,Noche,Oficina Remota,
E089,2024-10-16,05:51,13:51,Noche,Oficina Central,
E1036,2024-05-26,05:07,12:07,Noche,Almacén,Animi nisi officia.
E837,2024-10-26,14:15,22:15,Libre,Planta de Producción,
E119,2024-09-14,20:52,04:52,Noche,Planta de Producción,
E1002,2024-10-31,21:30,04:30,Tarde,Oficina Remota,
E982,2025-02-17,10:03,17:03,Tarde,Oficina Central,
E861,2024-05-18,06:22,14:22,Mañana,Almacén,
E1010,2024-11-30,03:51,11:51,Noche,Almacén,
E840,2025-04-21,23:24,06:24,Libre,Planta de Producción,
E262,2025-03-21,15:19,22:19,Libre,Planta de Producción,
E908,2024-12-04,13:42,20:42,Libre,Planta de Producción,
E294,2024-07-17,18:02,02:02,Tarde,Oficina Central,
E488,2024-08-21,05:28,13:28,Noche,Oficina Central,
E205,2024-07-19,19:20,03:20,Libre,Oficina Central,
E369,2025-04-20,03:42,10:42,Mañana,Planta de Producción,
E638,2024-09-18,19:07,03:07,Tarde,Almacén,
E1032,2024-09-02,11:42,18:42,Mañana,Almacén,
E1186,2024-06-28,09:22,15:22,Tarde,Oficina Central,
E554,2024-08-30,22:26,04:26,Libre,Planta de Producción,
E595,2024-12-26,11:14,18:14,Libre,Oficina Central,
E364,2025-04-09,16:57,00:57,Libre,Almacén,Voluptas dolorum mollitia eaque.
E961,2025-03-02,12:03,19:03,Mañana,Oficina Central,
E210,2024-07-19,00:29,07:29,Tarde,Oficina Remota,
E1055,2024-07-03,18:39,02:39,Noche,Oficina Remota,Iure nobis occaecati consequatur.
E340,2025-03-04,21:51,05:51,Tarde,Planta de Producción,
E656,2024-12-26,02:58,08:58,Noche,Almacén,
E767,2024-12-22,21:54,03:54,Tarde,Almacén,
E835,2025-03-10,11:15,17:15,Noche,Oficina Remota,
E167,2024-12-17,15:06,21:06,Mañana,Oficina Remota,
E1021,2024-12-26,21:26,03:26,Mañana,Oficina Central,
E1040,2024-06-22,03:37,09:37,Libre,Oficina Remota,Debitis nisi nihil reiciendis placeat illum.
E628,2024-08-11,00:38,06:38,Libre,Almacén,
E567,2024-11-09,21:24,05:24,Mañana,Oficina Remota,
E216,2024-12-18,04:39,10:39,Mañana,Oficina Remota,
E655,2024-09-26,04:38,11:38,Libre,Oficina Central,
E725,2024-11-12,18:14,01:14,Mañana,Planta de Producción,Assumenda dolor vitae voluptatem occaecati beatae.
E373,2024-08-10,11:31,17:31,Libre,Almacén,
E566,2024-07-07,22:37,04:37,Libre,Oficina Remota,
E823,2024-10-18,12:56,19:56,Noche,Oficina Central,
E1127,2025-02-27,08:17,16:17,Libre,Almacén,
E557,2024-07-05,02:04,10:04,Libre,Oficina Central,
E252,2025-03-10,14:04,20:04,Libre,Planta de Producción,
E1135,2024-05-11,02:36,09:36,Libre,Oficina Central,
E877,2024-07-15,00:02,08:02,Noche,Oficina Central,
E1106,2024-10-09,04:27,11:27,Tarde,Oficina Central,
E886,2024-06-22,21:48,04:48,Libre,Almacén,
E265,2024-06-22,11:49,18:49,Noche,Oficina Remota,
E511,2024-12-18,23:50,07:50,Tarde,Almacén,Eum quasi rerum facilis vitae.
E1106,2025-03-22,20:37,04:37,Mañana,Oficina Remota,
E744,2024-04-24,06:33,13:33,Mañana,Oficina Central,
E114,2024-08-21,19:47,03:47,Tarde,Oficina Central,
E708,2024-12-13,06:55,13:55,Tarde,Almacén,
E1009,2025-02-20,00:50,08:50,Tarde,Planta de Producción,
E617,2024-05-25,20:42,04:42,Tarde,Oficina Central,
E1029,2024-12-02,22:57,04:57,Noche,Oficina Remota,Facilis vero illo.
E417,2024-07-28,05:53,13:53,Noche,Oficina Central,
E923,2024-09-30,02:59,08:59,Noche,Oficina Remota,
E510,2025-03-13,19:36,03:36,Tarde,Oficina Remota,
E323,2025-03-23,14:14,21:14,Noche,Planta de Producción,
E995,2025-01-24,11:57,17:57,Libre,Planta de Producción,
E882,2025-03-02,02:22,10:22,Noche,Oficina Remota,
E316,2024-05-18,09:33,16:33,Tarde,Oficina Central,
E471,2025-04-10,02:57,08:57,Tarde,Planta de Producción,
E911,2024-10-09,00:09,07:09,Tarde,Planta de Producción,
E784,2025-03-10,21:27,03:27,Libre,Planta de Producción,
E952,2025-02-16,10:29,18:29,Mañana,Oficina Central,
E289,2024-07-02,08:46,15:46,Mañana,Almacén,
E861,2024-11-30,02:50,08:50,Tarde,Almacén,
E258,2024-12-18,12:59,20:59,Tarde,Oficina Central,
E294,2024-06-28,16:48,23:48,Noche,Oficina Remota,
E867,2024-09-15,10:00,17:00,Mañana,Planta de Producción,
E857,2025-02-25,07:09,13:09,Mañana,Almacén,
E501,2025-02-19,12:33,18:33,Noche,Planta de Producción,
E668,2024-11-23,21:00,04:00,Libre,Planta de Producción,
E533,2024-08-06,10:42,17:42,Mañana,Planta de Producción,
E071,2024-12-05,15:05,23:05,Mañana,Planta de Producción,
E244,2024-04-25,08:36,14:36,Mañana,Oficina Central,
E1184,2024-08-19,21:59,03:59,Tarde,Almacén,
E668,2024-06-16,05:33,11:33,Libre,Planta de Producción,
E340,2024-06-18,05:00,11:00,Noche,Almacén,Quos explicabo consequuntur eius aliquid.
E864,2024-07-05,20:48,04:48,Tarde,Planta de Producción,
E469,2024-10-26,02:46,08:46,Mañana,Almacén,
E1108,2024-05-24,11:29,17:29,Mañana,Almacén,
E265,2024-10-14,12:04,18:04,Tarde,Oficina Central,
E697,2024-08-27,02:43,08:43,Mañana,Planta de Producción,
E922,2024-07-04,16:51,00:51,Mañana,Planta de Producción,Cum voluptates ab.
E263,2025-04-22,06:53,12:53,Libre,Planta de Producción,
E976,2024-10-16,15:29,21:29,Tarde,Planta de Producción,
E972,2024-06-26,17:17,23:17,Tarde,Almacén,
E131,2024-11-21,12:02,18:02,Noche,Almacén,
